Hour_sin,Hour_cos,Soil_Temp,Rainfall,Soil_Moisture
0.0,-1.0,7.1,0.0,0.378
-0.2588,-0.9659,7.0,0.0,0.378
-0.5,-0.866,7.0,0.0,0.378
-0.7071,-0.7071,6.9,0.0,0.377
-0.866,-0.5,7.3,0.0,0.377
-0.9659,-0.2588,8.8,0.0,0.377
-1.0,-0.0,10.7,0.0,0.377
-0.9659,0.2588,12.5,0.0,0.376
-0.866,0.5,14.3,0.0,0.375
-0.7071,0.7071,15.4,0.0,0.374
-0.5,0.866,16.1,0.0,0.372
-0.2588,0.9659,15.7,0.0,0.371
0.0,1.0,14.8,0.0,0.371
0.2588,0.9659,13.5,0.0,0.371
0.5,0.866,11.3,0.0,0.371
0.7071,0.7071,10.5,0.0,0.372
0.866,0.5,9.9,0.0,0.372
0.9659,0.2588,9.6,0.0,0.372
1.0,0.0,9.3,0.0,0.372
0.9659,-0.2588,8.8,0.0,0.372
0.866,-0.5,8.9,0.0,0.372
0.7071,-0.7071,8.6,0.0,0.372
0.5,-0.866,8.3,0.0,0.372
0.2588,-0.9659,8.4,0.0,0.372
0.0,-1.0,8.3,0.0,0.372
-0.2588,-0.9659,8.2,0.0,0.372
-0.5,-0.866,8.1,0.0,0.371
-0.7071,-0.7071,8.0,0.0,0.371
-0.866,-0.5,8.4,0.0,0.371
-0.9659,-0.2588,9.6,0.0,0.371
-1.0,-0.0,11.4,0.0,0.37
-0.9659,0.2588,13.1,0.0,0.37
-0.866,0.5,14.5,0.0,0.369
-0.7071,0.7071,16.1,0.0,0.367
-0.5,0.866,17.0,0.0,0.366
-0.2588,0.9659,16.4,0.0,0.365
0.0,1.0,15.5,0.0,0.365
0.2588,0.9659,14.2,0.0,0.366
0.5,0.866,12.0,0.0,0.366
0.7071,0.7071,11.0,0.0,0.366
0.866,0.5,10.4,0.0,0.366
0.9659,0.2588,10.0,0.0,0.366
1.0,0.0,9.8,0.0,0.366
0.9659,-0.2588,9.5,0.0,0.367
0.866,-0.5,9.1,0.0,0.367
0.7071,-0.7071,9.0,0.0,0.367
0.5,-0.866,9.0,0.0,0.367
0.2588,-0.9659,8.7,0.0,0.367
0.0,-1.0,8.6,0.0,0.367
-0.2588,-0.9659,8.7,0.0,0.367
-0.5,-0.866,8.4,0.0,0.367
-0.7071,-0.7071,8.2,0.0,0.367
-0.866,-0.5,8.6,0.0,0.367
-0.9659,-0.2588,9.9,0.0,0.367
-1.0,-0.0,11.7,0.0,0.366
-0.9659,0.2588,13.4,0.0,0.365
-0.866,0.5,15.1,0.0,0.364
-0.7071,0.7071,16.4,0.0,0.362
-0.5,0.866,17.0,0.0,0.361
-0.2588,0.9659,16.7,0.0,0.36
0.0,1.0,15.7,0.0,0.359
0.2588,0.9659,14.3,0.0,0.359
0.5,0.866,13.1,0.0,0.359
0.7071,0.7071,11.7,0.0,0.36
0.866,0.5,11.8,0.0,0.361
0.9659,0.2588,11.0,0.0,0.361
1.0,0.0,10.4,0.0,0.361
0.9659,-0.2588,9.8,0.0,0.361
0.866,-0.5,9.4,0.0,0.361
0.7071,-0.7071,9.5,0.0,0.361
0.5,-0.866,9.1,0.0,0.361
0.2588,-0.9659,8.9,0.0,0.361
0.0,-1.0,8.5,0.0,0.361
-0.2588,-0.9659,8.4,0.0,0.361
-0.5,-0.866,8.4,0.0,0.361
-0.7071,-0.7071,8.2,0.0,0.361
-0.866,-0.5,8.8,0.0,0.361
